Trace,Managers,Agents,"get-request","get-next-request","get-bulk-request","set-request","trap","trap2","inform","response","report"
Traffic Trace 378,4,295,5485,3086,591,7,1817,7650,1,14182,16
Traffic Trace 379,8,258,9752,3490,0,10,1881,7330,85,14215,42
Traffic Trace 380,6,268,2951,2803,641,4,1808,9157,69,11862,60
Traffic Trace 381,0,297,3698,2753,754,4,1663,9970,58,24052,15
Traffic Trace 382,2,263,3097,962,135,2,1979,8118,69,31633,73
Traffic Trace 383,9,259,6205,1298,994,0,1912,7573,69,54940,12
Traffic Trace 384,9,278,13337,1532,222,9,1871,8871,2,4309,88
Traffic Trace 385,1,260,1201,2006,182,4,1113,9128,11,56176,90
Traffic Trace 386,5,258,13431,2530,76,0,1272,9976,20,9472,55
Traffic Trace 387,0,273,11834,3856,323,4,1980,8186,27,8952,60
Traffic Trace 388,3,279,11940,2871,693,5,1795,8888,38,17061,80
Traffic Trace 389,3,294,13178,1732,137,9,1559,7884,41,38766,75
Traffic Trace 390,2,280,1994,2544,584,5,1860,9200,6,9012,31
Traffic Trace 391,9,292,1078,1682,623,6,1723,9721,43,59768,77
Traffic Trace 392,3,267,13716,1059,907,2,1573,8658,96,45553,15
Traffic Trace 393,0,267,11381,2208,203,5,1554,8059,79,24043,18
Traffic Trace 394,8,287,12248,1997,461,7,1856,8373,48,9264,81
Traffic Trace 395,4,266,10973,2576,887,2,1544,8939,42,33919,99
Traffic Trace 396,1,252,3691,2736,607,5,1426,7022,73,13122,75
Traffic Trace 397,5,282,3907,1340,502,7,1722,8971,47,6700,98
Traffic Trace 398,2,285,13014,2069,248,5,1871,9442,49,2095,87
Traffic Trace 399,7,284,7636,1309,99,5,1958,7955,23,29216,97
Traffic Trace 400,4,287,7538,852,449,1,1572,8681,9,45299,26
